sku,barcode,warehouse,quantity,unit,unitCost,batchNumber,manufactureDate,expiryDate,serialNumbers,reference,notes
PARA-500-TAB,,MAIN,2000,,2,OPEN-PARA-01,2025-08-01,2027-08-01,,OPENING,Opening balance
AMOX-500-CAP,,MAIN,500,,8,OPEN-AMOX-01,2025-06-01,2027-06-01,,OPENING,Opening balance
CET-10-TAB,,MAIN,800,,3,OPEN-CET-01,2025-10-01,2027-10-01,,OPENING,Opening balance
IBU-400-TAB,,MAIN,1000,,4,OPEN-IBU-01,2025-07-01,2027-07-01,,OPENING,Opening balance
ORS-SACH,,MAIN,120,,10,OPEN-ORS-01,2025-11-01,2027-11-01,,OPENING,Opening balance
GLOVE-M,,MAIN,50,,15,OPEN-GLV-01,2025-01-01,2028-01-01,,OPENING,Gloves opening
AZI-500-TAB,,MAIN,300,,40,OPEN-AZI-01,2025-09-01,2027-09-01,,OPENING,Azithromycin opening
CIP-500-TAB,,MAIN,500,,12,OPEN-CIP-01,2025-08-01,2027-08-01,,OPENING,Ciprofloxacin opening
OME-20-CAP,,MAIN,400,,6,OPEN-OME-01,2025-07-01,2027-07-01,,OPENING,Omeprazole opening
LOS-50-TAB,,MAIN,600,,5,OPEN-LOS-01,2025-06-01,2027-06-01,,OPENING,Losartan opening
AML-5-TAB,,MAIN,600,,3,OPEN-AML-01,2025-06-01,2027-06-01,,OPENING,Amlodipine opening
MULTI-VIT-TAB,,MAIN,900,,2,OPEN-MV-01,2025-10-01,2027-10-01,,OPENING,Multivitamin opening
ALB-400-TAB,,MAIN,200,,25,OPEN-ALB-01,2025-05-01,2027-05-01,,OPENING,Albendazole opening
SAL-INH-100,,MAIN,25,,180,OPEN-SAL-01,2025-11-01,2027-05-01,,OPENING,Inhaler opening
COUGH-SYP-100,,MAIN,40,,90,OPEN-COUGH-01,2025-09-01,2027-03-01,,OPENING,Syrup opening
DIC-GEL-30,,MAIN,30,,70,OPEN-DIC-01,2025-08-01,2027-08-01,,OPENING,Gel opening
HC-CRM-15,,MAIN,25,,55,OPEN-HC-01,2025-07-01,2027-07-01,,OPENING,Cream opening
EYE-TEAR-10,,MAIN,20,,95,OPEN-EYE-01,2025-09-01,2027-03-01,,OPENING,Drops opening
INS-GLAR,,MAIN,10,,1200,OPEN-INS-01,2025-12-01,2026-12-01,,OPENING,Insulin opening
MASK-50,,MAIN,20,,120,OPEN-MASK-01,2025-01-01,2028-01-01,,OPENING,Masks boxes opening
SYR-5ML,,MAIN,200,,5,OPEN-SYR-01,2025-01-01,2028-01-01,,OPENING,Syringes opening
