sku,barcode,warehouse,quantity,unit,unitCost,batchNumber,manufactureDate,expiryDate,serialNumbers,reference,notes
AZI-500-TAB,,MAIN,300,TAB,40,OPEN-AZI-01,2025-09-01,2027-09-01,,OPENING,Azithromycin 500 mg — opening
CIP-500-TAB,,MAIN,500,TAB,12,OPEN-CIP-01,2025-08-01,2027-08-01,,OPENING,Ciprofloxacin 500 mg — opening
OME-20-CAP,,MAIN,400,CAP,6,OPEN-OME-01,2025-07-01,2027-07-01,,OPENING,Omeprazole 20 mg — opening
LOS-50-TAB,,MAIN,600,TAB,5,OPEN-LOS-01,2025-06-01,2027-06-01,,OPENING,Losartan 50 mg — opening
AML-5-TAB,,MAIN,600,TAB,3,OPEN-AML-01,2025-06-01,2027-06-01,,OPENING,Amlodipine 5 mg — opening
MULTI-VIT-TAB,,MAIN,900,TAB,2,OPEN-MV-01,2025-10-01,2027-10-01,,OPENING,Multivitamin — opening
ALB-400-TAB,,MAIN,200,TAB,25,OPEN-ALB-01,2025-05-01,2027-05-01,,OPENING,Albendazole 400 mg — opening
SAL-INH-100,,MAIN,25,INH,180,OPEN-SAL-01,2025-11-01,2027-05-01,,OPENING,Salbutamol inhaler — each
COUGH-SYP-100,,MAIN,40,SYP,90,OPEN-COUGH-01,2025-09-01,2027-03-01,,OPENING,Cough syrup 100 mL bottle
DIC-GEL-30,,MAIN,30,GEL,70,OPEN-DIC-01,2025-08-01,2027-08-01,,OPENING,Diclofenac gel 30 g tube
HC-CRM-15,,MAIN,25,CRM,55,OPEN-HC-01,2025-07-01,2027-07-01,,OPENING,Hydrocortisone cream 15 g
EYE-TEAR-10,,MAIN,20,DRP,95,OPEN-EYE-01,2025-09-01,2027-03-01,,OPENING,Eye drops 10 mL
INS-GLAR,,MAIN,10,INJ,1200,OPEN-INS-01,2025-12-01,2026-12-01,,OPENING,Insulin glargine vial — cold chain
MASK-50,,MAIN,20,BOX,120,,,,,OPENING,Face masks box of 50 — opening
SYR-5ML,,MAIN,200,PCS,5,,,,,OPENING,Syringe 5 mL each — opening
